1회,2회,3회,4회,5회,6회,7회,8회,9회,상영관,상영일자,좌석수
"09:40,  보헤미안 랩소디(디지털),  8,000원","12:20,  보헤미안 랩소디(디지털),  9,000원","15:00,  보헤미안 랩소디(디지털),  10,000원","17:40,  보헤미안 랩소디(디지털),  10,000원","20:20,  보헤미안 랩소디(디지털),  10,000원","23:00,  보헤미안 랩소디(디지털),  10,000원",,,,05관,2019-01-10,134
"10:35,  극장판 공룡메카드: 타이니소어의 섬(디지털),  6,000원","12:10,  극장판 공룡메카드: 타이니소어의 섬(디지털),  9,000원","13:45,  아쿠아맨(디지털),  10,000원","16:40,  아쿠아맨(디지털),  10,000원","19:30,  아쿠아맨(디지털),  10,000원","22:30,  아쿠아맨(디지털),  10,000원",,,,06관,2019-01-10,164
"10:00,  그린 북(디지털),  6,000원","12:40,  그린 북(디지털),  9,000원","15:15,  PMC: 더 벙커(디지털),  10,000원","18:00,  그린 북(디지털),  10,000원","20:40,  PMC: 더 벙커(디지털),  10,000원","23:10,  그린 북(디지털)",,,,07관,2019-01-10,89
"09:45,  내안의 그놈(디지털),  6,000원","12:15,  내안의 그놈(디지털),  10,000원","14:40,  내안의 그놈(디지털),  10,000원","17:20,  내안의 그놈(디지털),  10,000원","20:00,  내안의 그놈(디지털),  10,000원","22:35,  내안의 그놈(디지털),  10,000원",,,,08관,2019-01-10,85
"10:10,  말모이(디지털),  7,000원","12:50,  말모이(디지털),  11,000원","15:40,  말모이(디지털),  11,000원","18:30,  말모이(디지털),  11,000원","21:20,  말모이(디지털),  11,000원","24:10,  말모이(디지털),  9,000원",,,,01관,2019-01-11,206
"09:00,  말모이(디지털),  7,000원","11:50,  말모이(디지털),  11,000원","14:35,  말모이(디지털),  11,000원","17:20,  말모이(디지털),  11,000원","20:10,  말모이(디지털),  11,000원","23:10,  말모이(디지털),  11,000원",,,,02관,2019-01-11,246
"09:10,  아쿠아맨(디지털),  7,000원","12:00,  아쿠아맨(디지털),  11,000원","14:50,  아쿠아맨(디지털),  11,000원","17:50,  아쿠아맨(디지털),  11,000원","20:40,  아쿠아맨(디지털),  11,000원","23:50,  아쿠아맨(디지털),  8,000원",,,,03관,2019-01-11,251
"09:50,  그린 북(디지털),  7,000원","12:30,  보헤미안 랩소디(디지털),  11,000원","15:20,  보헤미안 랩소디(디지털),  11,000원","18:10,  보헤미안 랩소디(디지털),  11,000원","21:05,  보헤미안 랩소디(디지털),  11,000원","24:00,  보헤미안 랩소디(디지털),  11,000원",,,,04관,2019-01-11,125
"10:30,  내안의 그놈(디지털),  7,000원","13:15,  내안의 그놈(디지털),  11,000원","15:50,  내안의 그놈(디지털),  11,000원","18:20,  내안의 그놈(디지털),  11,000원","20:50,  내안의 그놈(디지털),  11,000원","23:30,  내안의 그놈(디지털),  11,000원",,,,05관,2019-01-11,134
"09:05,  보헤미안 랩소디(디지털),  7,000원","11:45,  극장판 공룡메카드: 타이니소어의 섬(디지털),  11,000원","13:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","16:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","18:40,  주먹왕 랄프 2: 인터넷 속으로(디지털),  11,000원","21:00,  PMC: 더 벙커(디지털),  11,000원","23:40,  PMC: 더 벙커(디지털),  7,000원",,,06관,2019-01-11,164
"09:20,  극장판 공룡메카드: 타이니소어의 섬(디지털),  7,000원","11:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","13:30,  PMC: 더 벙커(디지털),  11,000원","16:20,  그린 북(디지털),  6,000원","19:00,  PMC: 더 벙커(디지털),  11,000원","21:30,  그린 북(디지털),  8,000원","24:05,  그린 북(디지털),  9,000원",,,07관,2019-01-11,89
"10:50,  아쿠아맨(디지털),  7,000원","13:50,  아쿠아맨(디지털),  9,000원","16:40,  아쿠아맨(디지털),  11,000원","19:30,  아쿠아맨(디지털),  11,000원","22:20,  아쿠아맨(디지털),  11,000원",,,,,08관,2019-01-11,85
"09:00,  점박이 한반도의 공룡2 : 새로운 낙원(디지털)","11:00,  아쿠아맨(디지털),  7,000원","13:50,  아쿠아맨(디지털),  11,000원","17:00,  아쿠아맨(디지털),  11,000원","19:50,  아쿠아맨(디지털),  11,000원","22:40,  아쿠아맨(디지털),  11,000원",,,,01관,2019-01-12,206
"09:50,  말모이(디지털),  7,000원","12:30,  말모이(디지털),  11,000원","15:10,  말모이(디지털),  11,000원","17:50,  말모이(디지털),  11,000원","20:30,  말모이(디지털),  11,000원","23:10,  말모이(디지털),  11,000원",,,,02관,2019-01-12,246
"08:30,  말모이(디지털),  7,000원","11:20,  말모이(디지털),  11,000원","14:00,  말모이(디지털),  11,000원","16:40,  말모이(디지털),  11,000원","19:20,  말모이(디지털),  11,000원","22:00,  말모이(디지털),  11,000원",,,,03관,2019-01-12,251
"10:00,  극장판 공룡메카드: 타이니소어의 섬(디지털),  10,000원","11:35,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  11,000원","13:35,  극장판 공룡메카드: 타이니소어의 섬(디지털),  11,000원","15:20,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  11,000원","17:20,  보헤미안 랩소디(디지털),  11,000원","20:10,  보헤미안 랩소디(디지털),  11,000원","22:50,  보헤미안 랩소디(디지털),  11,000원",,,04관,2019-01-12,125
"08:45,  내안의 그놈(디지털),  7,000원","11:10,  내안의 그놈(디지털),  11,000원","13:40,  내안의 그놈(디지털),  11,000원","16:10,  내안의 그놈(디지털),  11,000원","19:00,  내안의 그놈(디지털),  11,000원","21:40,  내안의 그놈(디지털),  11,000원","24:10,  내안의 그놈(디지털),  9,000원",,,05관,2019-01-12,134
"09:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","12:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","14:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","16:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","19:10,  주먹왕 랄프 2: 인터넷 속으로(디지털),  11,000원","21:30,  주먹왕 랄프 2: 인터넷 속으로(디지털),  11,000원","24:00,  PMC: 더 벙커(디지털),  7,000원",,,06관,2019-01-12,164
"10:10,  보헤미안 랩소디(디지털),  8,000원","12:50,  보헤미안 랩소디(디지털),  11,000원","15:30,  극장판 공룡메카드: 타이니소어의 섬(디지털),  11,000원","17:05,  극장판 공룡메카드: 타이니소어의 섬(디지털),  11,000원","18:40,  아쿠아맨(디지털),  11,000원","21:30,  아쿠아맨(디지털),  11,000원","24:20,  아쿠아맨(디지털),  9,000원",,,07관,2019-01-12,89
"09:20,  그린 북(디지털),  7,000원","11:55,  PMC: 더 벙커(디지털),  11,000원","14:30,  그린 북(디지털),  11,000원","17:10,  그린 북(디지털),  11,000원","20:00,  PMC: 더 벙커(디지털),  11,000원","22:30,  그린 북(디지털),  11,000원",,,,08관,2019-01-12,85
"10:00,  극장판 공룡메카드: 타이니소어의 섬(디지털),  10,000원","11:35,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  11,000원","13:35,  극장판 공룡메카드: 타이니소어의 섬(디지털),  11,000원","15:15,  극장판 공룡메카드: 타이니소어의 섬(디지털),  11,000원","17:10,  극장판 공룡메카드: 타이니소어의 섬(디지털),  11,000원","18:45,  내안의 그놈(디지털),  11,000원","21:10,  내안의 그놈(디지털),  11,000원","23:40,  내안의 그놈(디지털),  11,000원",,01관,2019-01-13,206
"09:50,  말모이(디지털),  9,000원","12:30,  말모이(디지털),  11,000원","15:10,  말모이(디지털),  11,000원","17:50,  말모이(디지털),  11,000원","20:40,  말모이(디지털),  11,000원","23:20,  말모이(디지털),  11,000원",,,,02관,2019-01-13,246
"08:30,  말모이(디지털),  7,000원","11:20,  말모이(디지털),  11,000원","14:00,  말모이(디지털),  11,000원","16:50,  말모이(디지털),  11,000원","19:30,  말모이(디지털),  11,000원","22:10,  말모이(디지털),  11,000원",,,,03관,2019-01-13,251
"09:00,  점박이 한반도의 공룡2 : 새로운 낙원(디지털)","11:00,  아쿠아맨(디지털),  7,000원","13:50,  아쿠아맨(디지털),  11,000원","16:40,  아쿠아맨(디지털),  11,000원","19:40,  아쿠아맨(디지털),  11,000원","22:30,  아쿠아맨(디지털),  11,000원",,,,04관,2019-01-13,125
"09:40,  내안의 그놈(디지털),  7,000원","12:10,  내안의 그놈(디지털),  11,000원","14:50,  내안의 그놈(디지털),  11,000원","17:20,  내안의 그놈(디지털),  11,000원","20:00,  내안의 그놈(디지털),  11,000원","22:40,  내안의 그놈(디지털),  11,000원",,,,05관,2019-01-13,134
"09:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","11:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","14:10,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","16:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","18:50,  그린 북(디지털),  11,000원","21:25,  그린 북(디지털),  11,000원",,,,06관,2019-01-13,164
"10:10,  보헤미안 랩소디(디지털),  10,000원","12:50,  보헤미안 랩소디(디지털),  11,000원","15:30,  보헤미안 랩소디(디지털),  11,000원","18:10,  보헤미안 랩소디(디지털),  8,000원","20:50,  보헤미안 랩소디(디지털),  11,000원","23:30,  아쿠아맨(디지털),  11,000원",,,,07관,2019-01-13,89
"09:20,  그린 북(디지털),  7,000원","11:55,  PMC: 더 벙커(디지털),  11,000원","14:25,  그린 북(디지털),  11,000원","17:00,  주먹왕 랄프 2: 인터넷 속으로(디지털),  11,000원","19:25,  내안의 그놈(디지털),  11,000원","22:00,  PMC: 더 벙커(디지털),  11,000원",,,,08관,2019-01-13,85
"09:25,  극장판 공룡메카드: 타이니소어의 섬(디지털)","11:00,  극장판 공룡메카드: 타이니소어의 섬(디지털),  7,000원","12:35,  극장판 공룡메카드: 타이니소어의 섬(디지털),  9,000원","14:10,  극장판 공룡메카드: 타이니소어의 섬(디지털),  10,000원","15:45,  아쿠아맨(디지털),  10,000원","18:35,  아쿠아맨(디지털),  10,000원","21:25,  아쿠아맨(디지털),  10,000원",,,01관,2019-01-14,206
"09:00,  말모이(디지털),  7,000원","11:40,  말모이(디지털),  9,000원","14:20,  말모이(디지털),  10,000원","17:00,  말모이(디지털),  10,000원","19:40,  말모이(디지털),  10,000원","22:20,  말모이(디지털),  10,000원",,,,02관,2019-01-14,246
"10:10,  말모이(디지털),  7,000원","12:50,  말모이(디지털),  9,000원","15:30,  말모이(디지털),  10,000원","18:10,  말모이(디지털),  10,000원","21:00,  말모이(디지털),  10,000원","23:40,  말모이(디지털),  10,000원",,,,03관,2019-01-14,251
"09:05,  아쿠아맨(디지털),  6,000원","11:55,  아쿠아맨(디지털),  9,000원","14:45,  아쿠아맨(디지털),  10,000원","17:35,  아쿠아맨(디지털),  10,000원","20:25,  아쿠아맨(디지털),  10,000원","23:15,  아쿠아맨(디지털),  9,000원",,,,04관,2019-01-14,125
"09:50,  내안의 그놈(디지털),  6,000원","12:15,  내안의 그놈(디지털),  9,000원","14:55,  내안의 그놈(디지털),  10,000원","17:20,  내안의 그놈(디지털),  10,000원","19:55,  내안의 그놈(디지털),  10,000원","22:35,  내안의 그놈(디지털),  10,000원",,,,05관,2019-01-14,134
"09:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","11:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  9,000원","13:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","16:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","18:25,  내안의 그놈(디지털),  10,000원","20:55,  내안의 그놈(디지털),  10,000원","23:35,  내안의 그놈(디지털),  10,000원",,,06관,2019-01-14,164
"09:40,  보헤미안 랩소디(디지털),  6,000원","12:25,  PMC: 더 벙커(디지털),  8,500원","15:05,  보헤미안 랩소디(디지털),  10,000원","17:45,  PMC: 더 벙커(디지털),  10,000원","20:15,  보헤미안 랩소디(디지털),  10,000원","23:05,  PMC: 더 벙커(디지털)",,,,07관,2019-01-14,89
"10:40,  그린 북(디지털),  6,000원","13:15,  보헤미안 랩소디(디지털),  10,000원","16:20,  그린 북(디지털),  10,000원","19:00,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","21:15,  주먹왕 랄프 2: 인터넷 속으로(디지털),  8,000원","23:30,  그린 북(디지털),  10,000원",,,,08관,2019-01-14,85
"09:25,  극장판 공룡메카드: 타이니소어의 섬(디지털),  6,000원","11:00,  극장판 공룡메카드: 타이니소어의 섬(디지털),  6,000원","12:35,  극장판 공룡메카드: 타이니소어의 섬(디지털),  9,000원","14:10,  극장판 공룡메카드: 타이니소어의 섬(디지털),  10,000원","15:45,  아쿠아맨(디지털),  10,000원","18:35,  아쿠아맨(디지털),  10,000원","21:25,  아쿠아맨(디지털),  9,000원",,,01관,2019-01-15,206
"09:00,  말모이(디지털),  6,000원","11:40,  말모이(디지털),  9,000원","14:20,  말모이(디지털),  10,000원","17:00,  말모이(디지털),  10,000원","19:40,  말모이(디지털),  10,000원","22:20,  말모이(디지털),  10,000원",,,,02관,2019-01-15,246
"10:00,  말모이(디지털),  6,000원","12:50,  말모이(디지털),  9,000원","15:30,  말모이(디지털),  10,000원","18:10,  말모이(디지털),  10,000원","21:00,  말모이(디지털),  10,000원","23:40,  말모이(디지털),  10,000원",,,,03관,2019-01-15,251
"09:05,  아쿠아맨(디지털),  6,000원","11:55,  아쿠아맨(디지털),  9,000원","14:45,  아쿠아맨(디지털),  10,000원","17:35,  아쿠아맨(디지털),  10,000원","20:25,  아쿠아맨(디지털),  10,000원","23:15,  아쿠아맨(디지털),  8,500원",,,,04관,2019-01-15,125
"09:50,  내안의 그놈(디지털),  6,000원","12:15,  내안의 그놈(디지털),  9,000원","14:55,  내안의 그놈(디지털),  10,000원","17:20,  내안의 그놈(디지털),  10,000원","19:55,  내안의 그놈(디지털),  10,000원","22:35,  내안의 그놈(디지털),  10,000원",,,,05관,2019-01-15,134
"09:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","11:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  9,000원","13:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","16:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","18:25,  내안의 그놈(디지털),  10,000원","20:55,  내안의 그놈(디지털),  10,000원","23:35,  내안의 그놈(디지털),  10,000원",,,06관,2019-01-15,164
"09:40,  보헤미안 랩소디(디지털),  6,000원","12:25,  PMC: 더 벙커(디지털),  8,000원","15:05,  보헤미안 랩소디(디지털),  10,000원","17:45,  PMC: 더 벙커(디지털),  10,000원","20:15,  보헤미안 랩소디(디지털),  10,000원","23:05,  PMC: 더 벙커(디지털),  8,000원",,,,07관,2019-01-15,89
"10:40,  그린 북(디지털),  10,000원","13:15,  보헤미안 랩소디(디지털),  10,000원","16:20,  그린 북(디지털),  10,000원","19:00,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","21:15,  주먹왕 랄프 2: 인터넷 속으로(디지털),  8,000원","23:30,  그린 북(디지털),  9,000원",,,,08관,2019-01-15,85
"09:30,  아쿠아맨(디지털),  6,000원","12:20,  아쿠아맨(디지털),  9,000원","15:10,  아쿠아맨(디지털),  10,000원","18:00,  아쿠아맨(디지털),  10,000원","20:50,  아쿠아맨(디지털),  10,000원","23:40,  말모이(디지털),  7,500원",,,,01관,2019-01-16,206
"09:00,  내안의 그놈(디지털),  6,000원","11:30,  내안의 그놈(디지털),  9,000원","14:00,  내안의 그놈(디지털),  10,000원","16:30,  내안의 그놈(디지털),  10,000원","19:00,  내안의 그놈(디지털),  10,000원","21:40,  내안의 그놈(디지털),  10,000원",,,,02관,2019-01-16,246
"09:20,  말모이(디지털),  6,000원","12:00,  말모이(디지털),  9,000원","14:40,  말모이(디지털),  10,000원","17:20,  말모이(디지털),  10,000원","20:00,  말모이(디지털),  10,000원","22:40,  말모이(디지털),  10,000원",,,,03관,2019-01-16,251
"09:40,  언더독(디지털),  6,000원","11:45,  언더독(디지털),  9,000원","13:50,  언더독(디지털),  10,000원","16:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","18:35,  말모이(디지털),  10,000원","21:20,  말모이(디지털),  10,000원",,,,04관,2019-01-16,125
"09:25,  극장판 공룡메카드: 타이니소어의 섬(디지털)","11:00,  극장판 공룡메카드: 타이니소어의 섬(디지털),  6,000원","12:45,  극장판 공룡메카드: 타이니소어의 섬(디지털),  9,000원","14:25,  극장판 공룡메카드: 타이니소어의 섬(디지털),  10,000원","16:15,  미래의 미라이(디지털),  10,000원","18:20,  보헤미안 랩소디(디지털),  10,000원","21:00,  미래의 미라이(디지털),  10,000원","23:25,  보헤미안 랩소디(디지털),  10,000원",,05관,2019-01-16,134
"10:30,  그대 이름은 장미(디지털),  10,000원","13:00,  미래의 미라이(디지털),  9,000원","15:00,  그대 이름은 장미(디지털),  10,000원","17:40,  그린 북(디지털),  10,000원","20:15,  내안의 그놈(디지털),  10,000원","23:10,  내안의 그놈(디지털),  10,000원",,,,06관,2019-01-16,164
"10:55,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  9,000원","13:30,  구스 베이비(디지털더빙),  10,000원","15:25,  구스 베이비(디지털더빙),  10,000원","17:30,  언더독(디지털),  10,000원","19:40,  쿠르스크(디지털),  10,000원","22:10,  그대 이름은 장미(디지털),  8,000원",,,,07관,2019-01-16,89
