상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2018-11-14,01관,"10:00,  릴라와 마법의 책(디지털)","11:30,  릴라와 마법의 책(디지털),  6,000원","13:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","15:35,  신비한 동물들과 그린델왈드의 범죄(3D 디지털),  8,000원","18:10,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","20:45,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원",,,,,,,77
2018-11-14,02관,"09:50,  보헤미안 랩소디(디지털),  6,000원","12:20,  완벽한 타인(디지털),  6,000원","14:35,  동네사람들(디지털),  6,000원","16:30,  보헤미안 랩소디(디지털),  6,000원","19:00,  완벽한 타인(디지털),  6,000원","21:10,  동네사람들(디지털),  6,000원",,,,,,,47
2018-11-15,01관,"09:50,  해피 투게더(디지털),  6,000원","11:55,  릴라와 마법의 책(디지털)","13:30,  해피 투게더(디지털),  6,000원","15:35,  신비한 동물들과 그린델왈드의 범죄(3D 디지털),  8,000원","18:10,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","20:45,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원",,,,,,,77
2018-11-15,02관,"10:00,  동네사람들(디지털),  6,000원","12:00,  너의 췌장을 먹고 싶어(디지털),  6,000원","14:10,  보헤미안 랩소디(디지털),  6,000원","16:45,  해피 투게더(디지털),  6,000원","18:50,  완벽한 타인(디지털),  6,000원","21:05,  동네사람들(디지털),  6,000원",,,,,,,47
2018-11-16,01관,"09:50,  릴라와 마법의 책(디지털)","11:20,  너의 췌장을 먹고 싶어(디지털),  6,000원","13:25,  동네사람들(디지털),  6,000원","15:20,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","17:55,  신비한 동물들과 그린델왈드의 범죄(3D 디지털),  8,000원","20:30,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원",,,,,,,77
2018-11-16,02관,"10:10,  완벽한 타인(디지털),  6,000원","12:20,  해피 투게더(디지털),  6,000원","14:25,  보헤미안 랩소디(디지털),  6,000원","16:55,  완벽한 타인(디지털),  6,000원","19:05,  해피 투게더(디지털),  6,000원","21:10,  동네사람들(디지털),  6,000원",,,,,,,47
2018-11-17,01관,"09:50,  릴라와 마법의 책(디지털),  6,000원","11:20,  너의 췌장을 먹고 싶어(디지털),  6,000원","13:25,  동네사람들(디지털),  6,000원","15:20,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","17:55,  신비한 동물들과 그린델왈드의 범죄(3D 디지털),  8,000원","20:30,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원",,,,,,,77
2018-11-17,02관,"10:10,  완벽한 타인(디지털),  6,000원","12:20,  해피 투게더(디지털)","14:25,  보헤미안 랩소디(디지털),  6,000원","16:55,  완벽한 타인(디지털),  6,000원","19:05,  해피 투게더(디지털),  6,000원","21:10,  동네사람들(디지털),  6,000원",,,,,,,47
2018-11-18,01관,"09:50,  릴라와 마법의 책(디지털),  6,000원","11:20,  너의 췌장을 먹고 싶어(디지털),  6,000원","13:25,  동네사람들(디지털),  6,000원","15:20,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","17:55,  신비한 동물들과 그린델왈드의 범죄(3D 디지털),  8,000원","20:30,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원",,,,,,,77
2018-11-18,02관,"10:10,  완벽한 타인(디지털),  6,000원","12:20,  해피 투게더(디지털),  6,000원","14:25,  보헤미안 랩소디(디지털),  6,000원","16:55,  완벽한 타인(디지털),  6,000원","19:05,  해피 투게더(디지털),  6,000원","21:10,  동네사람들(디지털),  6,000원",,,,,,,47
