10회,11회,1회,2회,3회,4회,5회,6회,7회,8회,9회,상영관,상영일자,좌석수
,,"10:30,  한여름의 판타지아(디지털),  6,000원","12:30,  레드 툼(디지털),  7,000원","14:30,  뮤리엘(필름),  6,000원","17:30,  사랑해 사랑해(필름),  6,000원","20:00,  세상의 모든 기억 & 밤과 안개 & 게르니카(필름),  6,000원",,,,,시네마테크관,2015-07-10,212
,,"09:30,  동경 표류일기(디지털),  0원","11:30,  러덜리스(디지털),  7,000원","13:40,  심야식당(디지털),  7,000원","16:00,  트립 투 이탈리아(디지털),  7,000원","18:10,  러덜리스(디지털),  7,000원","20:20,  한밤의 아이들(디지털),  7,000원",,,,소극장,2015-07-10,212
,,"10:00,  연평해전(디지털),  5,000원","13:30,  극비수사(디지털),  7,000원","15:40,  소수의견(디지털),  7,000원","18:10,  우먼 인 골드(디지털),  7,000원","20:30,  연평해전(디지털),  7,000원",,,,,중극장,2015-07-10,413
,,"10:00,  한여름의 판타지아(디지털),  5,000원","12:00,  우리들은 그 노래를 알고 있다(필름),  6,000원","14:30,  스타비스키(필름),  6,000원","17:00,  내 미국 삼촌(필름),  6,000원","20:00,  인생은 소설이다(디지털),  6,000원",,,,,시네마테크관,2015-07-11,212
,,"09:30,  심야식당(디지털),  5,000원","11:50,  러덜리스(디지털),  7,000원","14:00,  디렉터스 컷(디지털),  7,000원","16:00,  트립 투 이탈리아(디지털),  7,000원","18:10,  네이든(디지털),  7,000원","20:30,  동경 표류일기(디지털),  7,000원",,,,소극장,2015-07-11,212
,,"10:00,  쥬라기 월드(3D 디지털),  8,000원","12:40,  우먼 인 골드(디지털),  7,000원","15:00,  연평해전(디지털),  7,000원",,"20:10,  우먼 인 골드(디지털),  7,000원",,,,,중극장,2015-07-11,413
,,"10:30,  디렉터스 컷(디지털),  5,000원","12:30,  히로시마 내사랑(필름),  6,000원","15:00,  집에 가고 싶어(필름),  6,000원","17:30,  지난 해 마리앙바드에서(필름),  6,000원","20:00,  집에 가고 싶어(필름),  6,000원",,,,,시네마테크관,2015-07-12,212
,,"10:40,  마돈나(디지털),  7,000원","13:10,  네이든(디지털),  7,000원","15:30,  러덜리스(디지털),  7,000원","17:40,  레드 툼(디지털),  7,000원","19:40,  한밤의 아이들(디지털),  6,000원",,,,,소극장,2015-07-12,212
,,"10:00,  극비수사(디지털),  6,000원","12:10,  쥬라기 월드(3D 디지털),  13,000원","14:50,  우먼 인 골드(디지털),  7,000원","17:00,  연평해전(디지털),  7,000원","19:40,  소수의견(디지털),  7,000원",,,,,중극장,2015-07-12,413
,,"10:30,  한여름의 판타지아(디지털),  5,000원","12:30,  레드 툼(디지털),  7,000원","14:30,  마돈나(디지털),  7,000원","17:00,  잉투기(디지털),  0원","19:30,  레드 툼(디지털),  7,000원",,,,,시네마테크관,2015-07-13,212
,,"10:30,  러덜리스(디지털),  5,000원","12:40,  동경 표류일기(디지털),  7,000원","14:40,  한밤의 아이들(디지털),  7,000원","17:30,  트립 투 이탈리아(디지털),  7,000원","19:40,  심야식당(디지털),  7,000원",,,,,소극장,2015-07-13,212
,,"09:50,  소수의견(디지털),  5,000원","12:10,  우먼 인 골드(디지털),  7,000원","14:00,  연평해전(디지털),  7,000원","16:40,  연평해전(디지털),  7,000원","19:40,  우먼 인 골드(디지털),  7,000원",,,,,중극장,2015-07-13,413
,,"11:00,  한밤의 아이들(디지털),  7,000원",,"14:00,  말 없는 사나이(디지털),  6,000원","17:00,  모감보(필름),  6,000원","20:00,  에어메일(필름),  6,000원",,,,,시네마테크관,2015-07-14,212
,,"10:30,  마돈나(디지털),  5,000원","13:00,  레드 툼(디지털),  7,000원","15:00,  마돈나(디지털),  7,000원","17:30,  디렉터스 컷(디지털),  7,000원","19:30,  레드 툼(디지털),  7,000원",,,,,소극장,2015-07-14,212
,,"10:00,  우먼 인 골드(디지털),  5,000원","12:20,  소수의견(디지털),  7,000원","15:00,  극비수사(디지털),  7,000원","17:20,  우먼 인 골드(디지털),  7,000원",,,,,,중극장,2015-07-14,413
,,"10:00,  커밍 홈(디지털),  5,000원","12:00,  레드 툼(디지털),  7,000원","14:00,  황야의 결투(필름),  6,000원","17:00,  리버티 밸런스를 쏜 사나이(디지털),  6,000원",,,,,,시네마테크관,2015-07-15,212
,,"10:30,  한밤의 아이들(디지털),  5,000원","13:20,  러덜리스(디지털),  7,000원","15:30,  동경 표류일기(디지털),  7,000원","17:30,  심야식당(디지털),  7,000원","19:50,  네이든(디지털),  7,000원",,,,,소극장,2015-07-15,212
,,"10:00,  극비수사(디지털),  5,000원","12:20,  우먼 인 골드(디지털),  7,000원","14:30,  연평해전(디지털),  7,000원","17:10,  소수의견(디지털),  7,000원","19:40,  우먼 인 골드(디지털),  7,000원",,,,,중극장,2015-07-15,413
,,"11:00,  레드 툼(디지털),  7,000원","13:00,  에어메일(필름),  6,000원","16:00,  모감보(필름),  6,000원",,"19:00,  도노반의 산호초(필름),  6,000원",,,,,시네마테크관,2015-07-16,212
,,"10:40,  10,000km(만 킬로미터)(디지털),  7,000원","12:50,  러덜리스(디지털),  7,000원","15:00,  네이든(디지털),  7,000원","17:20,  밀양 아리랑(디지털),  7,000원","19:30,  더 디너(디지털),  7,000원",,,,,소극장,2015-07-16,212
,,"10:00,  연평해전(디지털),  5,000원","12:40,  라이드 : 나에게로의 여행(디지털),  7,000원","15:00,  픽셀(디지털),  7,000원","17:30,  우먼 인 골드(디지털),  7,000원","19:50,  픽셀(디지털),  7,000원",,,,,중극장,2015-07-16,413
,,"11:00,  한밤의 아이들(디지털),  7,000원",,"14:00,  말 없는 사나이(디지털),  6,000원","17:00,  저지 프리스트(디지털),  6,000원","20:00,  머나먼 향해(필름),  6,000원",,,,,시네마테크관,2015-07-17,212
,,"09:50,  동경 표류일기(디지털),  6,000원","11:50,  10,000km(만 킬로미터)(디지털),  7,000원",,"16:30,  러덜리스(디지털),  7,000원","18:40,  더 디너(디지털),  7,000원","20:40,  밀양 아리랑(디지털),  7,000원",,,,소극장,2015-07-17,212
,,"10:00,  픽셀(디지털),  5,000원","12:20,  우먼 인 골드(디지털),  7,000원","14:40,  연평해전(디지털),  7,000원","17:20,  픽셀(디지털),  7,000원","19:40,  라이드 : 나에게로의 여행(디지털),  7,000원",,,,,중극장,2015-07-17,413
,,"09:50,  한여름의 판타지아(디지털),  5,000원","11:50,  밀양 아리랑(디지털),  7,000원","14:00,  리버티 밸런스를 쏜 사나이(디지털),  6,000원","17:00,  황야의 결투(필름),  6,000원","20:00,  나의 계곡은 푸르렀다(필름),  6,000원",,,,,시네마테크관,2015-07-18,212
,,"09:40,  네이든(디지털),  5,000원","12:00,  더 디너(디지털),  7,000원","14:00,  10,000km(만 킬로미터)(디지털),  7,000원","16:10,  러덜리스(디지털),  7,000원","18:20,  동경 표류일기(디지털),  7,000원","20:20,  심야식당(디지털),  7,000원",,,,소극장,2015-07-18,212
,,"10:00,  라이드 : 나에게로의 여행(디지털),  5,000원","12:00,  픽셀(3D 디지털),  13,000원","14:20,  우먼 인 골드(디지털),  7,000원","16:40,  소수의견(디지털),  7,000원","19:30,  연평해전(디지털),  7,000원",,,,,중극장,2015-07-18,413
,,"11:10,  한밤의 아이들(디지털),  7,000원",,"14:00,  저지 프리스트(디지털),  6,000원","17:00,  말 없는 사나이(디지털),  6,000원","20:00,  머나먼 향해(필름),  6,000원",,,,,시네마테크관,2015-07-19,212
,,"09:40,  심야식당(디지털),  6,000원","12:00,  러덜리스(디지털),  7,000원","14:10,  더 디너(디지털),  7,000원","16:10,  밀양 아리랑(디지털),  7,000원","18:20,  10,000km(만 킬로미터)(디지털),  7,000원","20:30,  네이든(디지털),  7,000원",,,,소극장,2015-07-19,212
,,"10:00,  픽셀(3D 디지털),  8,000원","12:20,  라이드 : 나에게로의 여행(디지털),  7,000원","14:20,  연평해전(디지털),  7,000원","17:00,  우먼 인 골드(디지털),  7,000원","19:30,  소수의견(디지털),  7,000원",,,,,중극장,2015-07-19,413
,,"10:40,  한여름의 판타지아(디지털),  7,000원","12:50,  레드 툼(디지털),  7,000원","14:50,  밀양 아리랑(디지털),  7,000원","17:00,  잉여들의 히치하이킹(디지털),  0원","19:30,  손님(디지털 가치봄),  3,000원",,,,,시네마테크관,2015-07-20,212
,,"09:40,  심야식당(디지털),  5,000원","12:00,  동경 표류일기(디지털),  7,000원","14:00,  더 디너(디지털),  7,000원","16:00,  네이든(디지털),  7,000원","18:20,  10,000km(만 킬로미터)(디지털),  7,000원","20:30,  러덜리스(디지털),  7,000원",,,,소극장,2015-07-20,212
,,"10:00,  우먼 인 골드(디지털),  5,000원","12:20,  픽셀(디지털),  7,000원","14:40,  라이드 : 나에게로의 여행(디지털),  7,000원","16:50,  연평해전(디지털),  7,000원","19:30,  픽셀(디지털),  7,000원",,,,,중극장,2015-07-20,413
,,,,"14:00,  일곱 여인들(필름),  0원","17:00,  닥터 불(필름),  6,000원","20:00,  도노반의 산호초(필름),  6,000원",,,,,시네마테크관,2015-07-21,212
,,"09:40,  러덜리스(디지털),  5,000원","11:50,  네이든(디지털),  7,000원","14:10,  트립 투 이탈리아(디지털),  7,000원","16:20,  더 디너(디지털),  7,000원","18:20,  동경 표류일기(디지털),  7,000원","20:20,  10,000km(만 킬로미터)(디지털),  7,000원",,,,소극장,2015-07-21,212
,,"10:00,  픽셀(디지털),  5,000원","12:20,  라이드 : 나에게로의 여행(디지털),  7,000원","14:30,  연평해전(디지털),  7,000원","17:10,  우먼 인 골드(디지털),  7,000원","19:30,  라이드 : 나에게로의 여행(디지털),  7,000원",,,,,중극장,2015-07-21,413
,,,,"14:00,  저지 프리스트(디지털),  6,000원","17:00,  리버티 밸런스를 쏜 사나이(디지털),  6,000원","20:00,  선탠하는 사람들 2(디지털),  6,000원",,,,,시네마테크관,2015-07-22,212
,,"09:50,  레드 툼(디지털),  5,000원","11:50,  밀양 아리랑(디지털),  7,000원","14:00,  마돈나(디지털),  7,000원","16:30,  디렉터스 컷(디지털),  7,000원","18:30,  레드 툼(디지털),  7,000원","20:30,  밀양 아리랑(디지털),  7,000원",,,,소극장,2015-07-22,212
,,"09:40,  암살(디지털),  6,000원","12:20,  암살(디지털),  7,000원","15:00,  암살(디지털),  7,000원","17:40,  암살(디지털),  7,000원","20:20,  암살(디지털),  7,000원",,,,,중극장,2015-07-22,413
,,"10:40,  우먼 인 골드(디지털),  7,000원","13:00,  일곱 여인들(필름),  0원",,"16:00,  도노반의 산호초(필름),  6,000원","19:00,  나의 계곡은 푸르렀다(필름),  6,000원",,,,,시네마테크관,2015-07-23,212
,,"10:50,  10,000km(만 킬로미터)(디지털),  7,000원","13:00,  종이 달(디지털),  7,000원","15:30,  러덜리스(디지털),  7,000원","17:40,  더 디너(디지털),  7,000원","19:40,  셀마(디지털),  7,000원",,,,,소극장,2015-07-23,212
,,"10:00,  암살(디지털),  6,000원","12:40,  라이드 : 나에게로의 여행(디지털),  7,000원","14:50,  암살(디지털),  7,000원","17:40,  픽셀(디지털),  7,000원","19:50,  암살(디지털),  7,000원",,,,,중극장,2015-07-23,413
,,,"11:50,  밀양 아리랑(디지털),  7,000원","14:00,  말 없는 사나이(디지털),  6,000원","17:00,  리버티 밸런스를 쏜 사나이(디지털),  6,000원","20:00,  닥터 불(필름),  6,000원",,,,,시네마테크관,2015-07-24,212
,,"09:30,  10,000km(만 킬로미터)(디지털),  5,000원","11:40,  종이 달(디지털),  7,000원","14:10,  러덜리스(디지털),  7,000원","16:20,  더 디너(디지털),  7,000원","18:20,  셀마(디지털),  7,000원","20:50,  우먼 인 골드(디지털),  7,000원",,,,소극장,2015-07-24,212
,,"10:00,  암살(디지털),  5,000원","12:50,  픽셀(디지털),  7,000원","15:00,  암살(디지털),  7,000원","17:50,  라이드 : 나에게로의 여행(디지털),  7,000원","19:50,  암살(디지털),  7,000원",,,,,중극장,2015-07-24,413
,,"10:40,  심야식당(디지털),  7,000원",,,,,,,,,시네마테크관,2015-07-25,212
,,"09:30,  러덜리스(디지털),  5,000원","11:40,  더 디너(디지털),  7,000원","13:40,  우먼 인 골드(디지털),  7,000원","16:00,  셀마(디지털),  7,000원","18:30,  10,000km(만 킬로미터)(디지털),  7,000원","20:40,  종이 달(디지털),  7,000원",,,,소극장,2015-07-25,212
,,"10:00,  픽셀(3D 디지털),  8,000원","12:20,  암살(디지털),  7,000원","15:10,  라이드 : 나에게로의 여행(디지털),  7,000원","17:10,  암살(디지털),  7,000원","19:50,  암살(디지털),  7,000원",,,,,중극장,2015-07-25,413
,,"11:00,  우먼 인 골드(디지털),  7,000원",,,,,,,,,시네마테크관,2015-07-26,212
,,"10:40,  더 디너(디지털),  7,000원","12:40,  종이 달(디지털),  7,000원","15:10,  네이든(디지털),  7,000원","17:30,  10,000km(만 킬로미터)(디지털),  7,000원","19:40,  셀마(디지털),  7,000원",,,,,소극장,2015-07-26,212
,,"10:00,  암살(디지털),  6,000원","12:50,  픽셀(3D 디지털),  13,000원","15:00,  암살(디지털),  7,000원","17:50,  라이드 : 나에게로의 여행(디지털),  7,000원","19:50,  암살(디지털),  7,000원",,,,,중극장,2015-07-26,413
,,"10:20,  마돈나(디지털),  6,000원","12:50,  레드 툼(디지털),  7,000원","14:50,  밀양 아리랑(디지털),  7,000원","17:00,  손님(디지털 가치봄),  3,000원","19:30,  남과 북(필름),  0원",,,,,시네마테크관,2015-07-27,212
,,"10:40,  우먼 인 골드(디지털),  7,000원","13:00,  더 디너(디지털),  7,000원","15:00,  네이든(디지털),  7,000원","17:20,  종이 달(디지털),  7,000원","19:50,  셀마(디지털),  7,000원",,,,,소극장,2015-07-27,212
,,"10:00,  암살(디지털),  6,000원","12:40,  암살(디지털),  7,000원","15:20,  암살(디지털),  7,000원","18:00,  암살(디지털),  6,000원","20:40,  암살(디지털),  7,000원",,,,,중극장,2015-07-27,413
,,"10:20,  심야식당(디지털),  5,000원","12:40,  우먼 인 골드(디지털),  7,000원",,,,,,,,시네마테크관,2015-07-28,212
,,"09:50,  밀양 아리랑(디지털),  5,000원","12:00,  레드 툼(디지털),  7,000원","14:00,  디렉터스 컷(디지털),  7,000원","16:00,  마돈나(디지털),  7,000원","18:30,  밀양 아리랑(디지털),  7,000원","20:40,  레드 툼(디지털),  7,000원",,,,소극장,2015-07-28,212
,,"09:40,  암살(디지털),  5,000원","12:20,  픽셀(디지털),  7,000원","14:30,  라이드 : 나에게로의 여행(디지털),  7,000원","16:40,  암살(디지털),  7,000원","19:40,  암살(디지털),  7,000원",,,,,중극장,2015-07-28,413
,,"10:30,  밀양 아리랑(디지털),  3,500원","12:40,  심야식당(디지털),  3,500원",,,,,,,,시네마테크관,2015-07-29,212
,,"10:30,  종이 달(디지털),  5,000원","13:00,  우먼 인 골드(디지털),  3,500원","15:20,  셀마(디지털),  3,500원","17:50,  10,000km(만 킬로미터)(디지털),  3,500원",,,,,,소극장,2015-07-29,212
,,"10:10,  피아니스트(디지털),  3,500원","13:10,  원스 어폰 어 타임 인 아메리카(디지털),  5,000원","18:00,  지젤(디지털),  0원","20:20,  피아니스트(디지털),  3,500원",,,,,,중극장,2015-07-29,413
,,"10:10,  우먼 인 골드(디지털),  6,000원","12:30,  마돈나(디지털),  7,000원",,,,,,,,시네마테크관,2015-07-30,212
,,"10:00,  러브 앤 머시(디지털),  6,000원","12:30,  더 디너(디지털),  7,000원","14:30,  종이 달(디지털),  7,000원","17:00,  셀마(디지털),  7,000원","19:30,  러브 앤 머시(디지털),  7,000원",,,,,소극장,2015-07-30,212
,,"10:00,  암살(디지털),  5,000원","12:40,  암살(디지털),  7,000원","15:20,  암살(디지털),  7,000원","18:00,  암살(디지털),  7,000원","20:40,  암살(디지털),  7,000원",,,,,중극장,2015-07-30,413
,,,,,,,"21:30,  러브 앤 머시(디지털),  5,000원",,,,소극장,2015-07-31,212
,,,,,"17:00,  우먼 인 골드(디지털),  7,000원","19:20,  심야식당(디지털),  7,000원",,,,,시네마테크관,2015-08-04,212
,,,,,,"19:00,  마돈나(디지털),  7,000원",,,,,소극장,2015-08-04,212
,,,,,"18:00,  암살(디지털),  7,000원","20:40,  암살(디지털),  7,000원",,,,,중극장,2015-08-04,413
,,,,"14:00,  작은 여우들(필름),  6,000원","17:00,  레네트와 미라벨의 네가지 모험(디지털),  6,000원","20:00,  난 그녀와 키스했다(디지털),  6,000원",,,,,시네마테크관,2015-08-05,212
,,"10:00,  베테랑(디지털),  5,000원","12:30,  암살(디지털),  7,000원","14:00,  작은 여우들(필름),  6,000원","17:00,  레네트와 미라벨의 네가지 모험(디지털),  6,000원","19:40,  우먼 인 골드(디지털),  7,000원",,,,,소극장,2015-08-05,212
,,,"12:30,  암살(디지털),  7,000원",,"17:40,  암살(디지털),  7,000원",,,,,,중극장,2015-08-05,413
,,,,"14:00,  다크시티(필름),  6,000원","17:00,  내 여자친구의 남자친구(디지털),  6,000원","20:00,  베이비 제인에게 무슨 일이 생겼나(디지털),  6,000원",,,,,시네마테크관,2015-08-06,212
,,"10:00,  암살(디지털),  6,000원","12:10,  이바라키의 여름(디지털),  7,000원","14:00,  다크시티(필름),  6,000원","16:10,  디올 앤 아이(디지털),  7,000원","18:00,  러브 앤 머시(디지털),  7,000원","20:30,  어느 하녀의 일기(디지털),  7,000원",,,,소극장,2015-08-06,212
,,"10:00,  암살(디지털),  6,000원","12:40,  베테랑(디지털)","15:10,  베테랑(디지털)","17:40,  암살(디지털),  7,000원","20:20,  베테랑(디지털)",,,,,중극장,2015-08-06,413
,,,,"14:00,  제저벨(필름),  6,000원","17:00,  봄 이야기(디지털),  6,000원","20:00,  칠드런 오브 맨(디지털),  6,000원",,,,,시네마테크관,2015-08-07,212
,,"09:40,  디올 앤 아이(디지털),  6,000원","11:30,  어느 하녀의 일기(디지털),  7,000원","13:30,  종이 달(디지털),  7,000원","16:00,  하루(디지털),  7,000원","18:00,  셀마(디지털),  7,000원","20:30,  러브 앤 머시(디지털),  7,000원",,,,소극장,2015-08-07,212
,,"10:00,  베테랑(디지털)","12:30,  암살(디지털),  7,000원","15:10,  베테랑(디지털)","17:40,  암살(디지털),  7,000원","20:20,  베테랑(디지털),  7,000원",,,,,중극장,2015-08-07,413
,,"09:40,  우먼 인 골드(디지털),  5,000원","12:00,  이바라키의 여름(디지털),  5,000원",,"17:30,  파리의 랑데부(디지털),  6,000원","20:00,  가자 항해자여(필름),  6,000원",,,,,시네마테크관,2015-08-08,212
,,"09:40,  더 디너(디지털),  6,000원","11:40,  러브 앤 머시(디지털),  7,000원","14:10,  하루(디지털),  7,000원","16:10,  어느 하녀의 일기(디지털),  7,000원","18:10,  셀마(디지털),  7,000원","20:40,  종이 달(디지털),  7,000원",,,,소극장,2015-08-08,212
,,"10:00,  픽셀(3D 디지털),  8,000원","12:20,  베테랑(디지털),  7,000원","14:50,  암살(디지털),  7,000원","17:30,  베테랑(디지털),  7,000원","20:00,  암살(디지털),  7,000원",,,,,중극장,2015-08-08,413
,,,"11:40,  우먼 인 골드(디지털),  7,000원","14:00,  레네트와 미라벨의 네가지 모험(디지털),  6,000원","17:00,  케이-펙스(디지털),  6,000원","20:00,  키드 갈라하드(필름),  6,000원",,,,,시네마테크관,2015-08-09,212
,,"09:40,  러브 앤 머시(디지털),  6,000원","12:10,  하루(디지털),  7,000원","14:10,  어느 하녀의 일기(디지털),  7,000원","16:10,  이바라키의 여름(디지털),  7,000원","18:10,  더 디너(디지털),  7,000원","20:20,  셀마(디지털),  7,000원",,,,소극장,2015-08-09,212
,,"10:00,  암살(디지털),  6,000원","12:40,  픽셀(3D 디지털),  13,000원","15:00,  베테랑(디지털),  7,000원","17:30,  암살(디지털),  7,000원","20:10,  베테랑(디지털),  7,000원",,,,,중극장,2015-08-09,413
,,,"12:40,  밀양 아리랑(디지털),  7,000원","14:50,  이바라키의 여름(디지털),  7,000원","17:00,  로맨스 조(디지털),  0원","19:30,  이바라키의 여름(디지털),  7,000원",,,,,시네마테크관,2015-08-10,212
,,"09:40,  더 디너(디지털),  6,000원","11:40,  종이 달(디지털),  7,000원","14:10,  러브 앤 머시(디지털),  7,000원","16:40,  하루(디지털),  7,000원","18:40,  어느 하녀의 일기(디지털),  7,000원","20:40,  우먼 인 골드(디지털),  7,000원",,,,소극장,2015-08-10,212
,,"10:00,  베테랑(디지털),  5,000원","12:30,  암살(디지털),  7,000원","15:10,  베테랑(디지털),  7,000원","17:40,  암살(디지털),  7,000원","20:20,  베테랑(디지털),  7,000원",,,,,중극장,2015-08-10,413
,,,,"14:00,  칠드런 오브 맨(디지털),  6,000원","17:00,  봄 이야기(디지털),  6,000원","20:00,  작은 여우들(필름),  6,000원",,,,,시네마테크관,2015-08-11,212
,,"09:40,  어느 하녀의 일기(디지털),  5,000원","11:40,  우먼 인 골드(디지털),  7,000원","13:50,  종이 달(디지털),  7,000원","16:30,  러브 앤 머시(디지털),  7,000원","19:00,  하루(디지털),  7,000원","21:00,  디올 앤 아이(디지털),  7,000원",,,,소극장,2015-08-11,212
,,"10:00,  암살(디지털),  5,000원","12:40,  베테랑(디지털),  7,000원","15:10,  베테랑(디지털),  7,000원","17:40,  암살(디지털),  7,000원","20:20,  베테랑(디지털),  7,000원",,,,,중극장,2015-08-11,413
,,,,"14:00,  나무, 시장, 메디아테크(디지털),  6,000원","17:00,  파리의 랑데부(디지털),  6,000원",,,,,,시네마테크관,2015-08-12,212
,,"11:00,  이바라키의 여름(디지털),  7,000원","13:00,  밀양 아리랑(디지털),  7,000원","15:10,  이바라키의 여름(디지털),  7,000원","17:10,  밀양 아리랑(디지털),  6,000원","19:20,  이바라키의 여름(디지털),  7,000원",,,,,소극장,2015-08-12,212
,,"10:10,  베테랑(디지털),  5,000원","12:40,  베테랑(디지털),  7,000원","15:10,  암살(디지털),  7,000원","17:50,  베테랑(디지털),  7,000원","20:20,  암살(디지털),  7,000원",,,,,중극장,2015-08-12,413
,,,"11:40,  우먼 인 골드(디지털),  7,000원","14:00,  케이-펙스(디지털),  6,000원","17:00,  겨울 이야기 (디지털),  6,000원","20:00,  가자 항해자여(필름),  6,000원",,,,,시네마테크관,2015-08-13,212
,,"10:10,  종이 달(디지털),  5,000원","12:40,  어느 하녀의 일기(디지털),  7,000원","14:40,  폴레트의 수상한 베이커리(디지털),  7,000원","16:30,  블루 룸(디지털),  7,000원","18:10,  위로공단(디지털),  7,000원","20:10,  블러바드(디지털),  7,000원",,,,소극장,2015-08-13,212
,,"10:00,  베테랑(디지털),  5,000원","12:30,  암살(디지털),  7,000원","15:10,  베테랑(디지털),  7,000원","17:40,  암살(디지털),  7,000원","20:20,  베테랑(디지털),  7,000원",,,,,중극장,2015-08-13,413
,,"10:00,  위로공단(디지털),  5,000원","12:00,  이바라키의 여름(디지털),  7,000원","14:00,  키드 갈라하드(필름),  6,000원","16:30,  A.I.(디지털),  6,000원","20:00,  나무, 시장, 메디아테크(디지털),  6,000원",,,,,시네마테크관,2015-08-14,212
,,"10:40,  블루 룸(디지털),  7,000원","12:20,  블러바드(디지털),  7,000원","14:10,  더 디너(디지털),  7,000원","16:10,  폴레트의 수상한 베이커리(디지털),  7,000원",,,,,,소극장,2015-08-14,212
,,"10:00,  암살(디지털),  6,000원","12:40,  베테랑(디지털),  7,000원","15:10,  암살(디지털),  7,000원","17:50,  베테랑(디지털),  7,000원","20:20,  베테랑(디지털),  7,000원",,,,,중극장,2015-08-14,413
,,"10:00,  이바라키의 여름(디지털),  6,000원","12:00,  위로공단(디지털),  7,000원","14:00,  여름이야기(디지털),  6,000원","17:00,  이브의 모든 것(필름),  6,000원","20:00,  더 문(디지털),  6,000원",,,,,시네마테크관,2015-08-15,212
,,"10:10,  하루(디지털),  5,000원","12:10,  셀마(디지털),  7,000원","14:40,  블러바드(디지털),  7,000원","16:30,  어느 하녀의 일기(디지털),  7,000원","18:30,  폴레트의 수상한 베이커리(디지털),  7,000원","20:20,  블루 룸(디지털),  7,000원",,,,소극장,2015-08-15,212
,,"09:30,  무민 더 무비(디지털더빙),  5,000원","11:10,  암살(디지털),  7,000원","13:50,  무민 더 무비(디지털),  7,000원","15:30,  베테랑(디지털),  7,000원","18:00,  암살(디지털),  7,000원","20:40,  베테랑(디지털),  7,000원",,,,중극장,2015-08-15,413
,,"10:00,  위로공단(디지털),  5,000원","11:50,  이바라키의 여름(디지털),  7,000원","14:00,  칠드런 오브 맨(디지털),  6,000원","17:00,  베이비 제인에게 무슨 일이 생겼나(디지털),  6,000원","20:00,  가을이야기(디지털),  6,000원",,,,,시네마테크관,2015-08-16,212
,,"10:10,  디올 앤 아이(디지털),  6,000원","12:00,  러브 앤 머시(디지털),  7,000원","14:30,  어느 하녀의 일기(디지털),  7,000원","16:30,  폴레트의 수상한 베이커리(디지털),  7,000원","18:20,  블러바드(디지털),  7,000원","20:10,  종이 달(디지털),  7,000원",,,,소극장,2015-08-16,212
,,"09:30,  베테랑(디지털),  5,000원","12:00,  무민 더 무비(디지털더빙),  7,000원","13:40,  암살(디지털),  7,000원","16:20,  무민 더 무비(디지털),  7,000원","18:00,  베테랑(디지털),  7,000원","20:30,  암살(디지털),  7,000원",,,,중극장,2015-08-16,413
,,"10:50,  밀양 아리랑(디지털),  7,000원","13:00,  위로공단(디지털),  7,000원","15:00,  이바라키의 여름(디지털),  7,000원","17:00,  미스진은 예쁘다(디지털),  0원","19:30,  베테랑(디지털 가치봄),  3,000원",,,,,시네마테크관,2015-08-17,212
,,"10:10,  폴레트의 수상한 베이커리(디지털),  5,000원","12:00,  블루 룸(디지털),  7,000원","13:40,  더 디너(디지털),  7,000원","15:40,  하루(디지털),  7,000원","17:40,  블러바드(디지털),  7,000원","19:40,  어느 하녀의 일기(디지털),  7,000원",,,,소극장,2015-08-17,212
,,"10:00,  베테랑(디지털),  5,000원","12:30,  베테랑(디지털),  7,000원","15:10,  암살(디지털),  7,000원","17:50,  베테랑(디지털),  7,000원","20:20,  암살(디지털),  7,000원",,,,,중극장,2015-08-17,413
,,"10:00,  이바라키의 여름(디지털),  5,000원","12:00,  위로공단(디지털),  7,000원","14:00,  가자 항해자여(필름),  6,000원","17:00,  다크시티(필름),  6,000원","20:00,  파리의 랑데부(디지털),  6,000원",,,,,시네마테크관,2015-08-18,212
,,"10:10,  블러바드(디지털),  5,000원","12:00,  폴레트의 수상한 베이커리(디지털),  7,000원","13:50,  블루 룸(디지털),  7,000원","15:30,  종이 달(디지털),  7,000원","18:00,  어느 하녀의 일기(디지털),  7,000원","20:10,  러브 앤 머시(디지털),  7,000원",,,,소극장,2015-08-18,212
,,"10:00,  베테랑(디지털),  5,000원","12:30,  암살(디지털),  7,000원","15:10,  베테랑(디지털),  7,000원","17:40,  암살(디지털),  7,000원","20:20,  베테랑(디지털),  7,000원",,,,,중극장,2015-08-18,413
,,,"11:40,  우먼 인 골드(디지털),  7,000원","14:00,  케이-펙스(디지털),  6,000원","17:00,  여름이야기(디지털),  6,000원","20:00,  미라클 벨리에(디지털),  6,000원",,,,,시네마테크관,2015-08-19,212
,,"10:10,  위로공단(디지털),  5,000원","12:10,  이바라키의 여름(디지털),  7,000원","14:10,  위로공단(디지털),  7,000원","16:10,  이바라키의 여름(디지털),  7,000원","18:10,  위로공단(디지털),  7,000원","20:10,  이바라키의 여름(디지털)",,,,소극장,2015-08-19,212
,,"10:00,  암살(디지털),  6,000원","13:00,  무민 더 무비(디지털더빙),  7,000원","15:10,  암살(디지털),  7,000원","17:50,  베테랑(디지털),  7,000원","20:20,  베테랑(디지털),  7,000원",,,,,중극장,2015-08-19,413
,,"10:00,  위로공단(디지털),  5,000원","12:00,  오늘영화(디지털),  7,000원","14:00,  천년을 흐르는 사랑(디지털),  6,000원","17:00,  데인저러스(필름),  6,000원","20:00,  내 여자친구의 남자친구(디지털),  6,000원",,,,,시네마테크관,2015-08-20,212
