1회,2회,3회,4회,5회,6회,7회,8회,상영관,상영일자,좌석수
"00:05,  아우슈비츠(디지털),  2,000원","16:05,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-22,59
"00:05,  아우슈비츠(디지털),  2,000원","16:05,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-23,59
"16:00,  아픈 만큼 사랑한다(디지털),  5,000원","19:35,  아픈 만큼 사랑한다(디지털)",,,,,,,01관,2019-06-24,59
"11:25,  교회오빠(디지털),  10,000원",,,,,,,,01관,2019-06-25,59
"11:25,  교회오빠(디지털),  10,000원",,,,,,,,01관,2019-06-26,59
"12:30,  교회오빠(디지털),  10,000원","16:05,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-27,59
"12:30,  교회오빠(디지털),  10,000원","16:05,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-28,59
"00:05,  아우슈비츠(디지털),  2,000원","18:15,  교회오빠(디지털),  10,000원","20:00,  교회오빠(디지털),  10,000원",,,,,,01관,2019-06-29,59
"12:30,  교회오빠(디지털),  10,000원","16:00,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-06-30,59
"11:25,  교회오빠(디지털),  10,000원",,,,,,,,01관,2019-07-01,59
"12:30,  교회오빠(디지털),  10,000원","16:05,  교회오빠(디지털),  10,000원","17:50,  교회오빠(디지털),  10,000원",,,,,,01관,2019-07-02,59
"12:30,  교회오빠(디지털),  10,000원","16:05,  교회오빠(디지털),  10,000원","19:40,  교회오빠(디지털),  10,000원",,,,,,01관,2019-07-03,59
"00:05,  종횡강호: 용유검의 전설(디지털),  1,000원","16:05,  교회오빠(디지털),  10,000원","17:50,  교회오빠(디지털),  10,000원",,,,,,01관,2019-07-04,59
"00:05,  이모의유혹2(디지털),  2,000원","16:05,  교회오빠(디지털),  10,000원","19:40,  교회오빠(디지털),  10,000원",,,,,,01관,2019-07-05,59
"12:30,  교회오빠(디지털),  10,000원","16:05,  교회오빠(디지털),  10,000원","19:40,  교회오빠(디지털),  10,000원",,,,,,01관,2019-07-06,59
"12:30,  교회오빠(디지털),  10,000원","16:05,  교회오빠(디지털),  10,000원","19:40,  교회오빠(디지털),  10,000원",,,,,,01관,2019-07-07,59
"12:30,  교회오빠(디지털),  10,000원","16:05,  교회오빠(디지털),  10,000원","17:50,  교회오빠(디지털)",,,,,,01관,2019-07-08,59
"12:30,  교회오빠(디지털),  10,000원","16:05,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-07-09,59
"12:30,  교회오빠(디지털),  10,000원","16:05,  교회오빠(디지털),  10,000원","19:40,  교회오빠(디지털),  10,000원",,,,,,01관,2019-07-10,59
"00:05,  딸의 친구 4(디지털),  2,000원","16:05,  교회오빠(디지털),  10,000원",,,,,,,01관,2019-07-11,59
"12:20,  교회오빠(디지털),  10,000원","14:10,  교회오빠(디지털),  10,000원","16:00,  교회오빠(디지털),  10,000원","19:40,  교회오빠(디지털),  10,000원",,,,,01관,2019-07-12,59
"12:20,  교회오빠(디지털),  10,000원","14:10,  교회오빠(디지털),  10,000원","16:00,  교회오빠(디지털),  10,000원","19:40,  교회오빠(디지털),  10,000원",,,,,01관,2019-07-13,59
"12:25,  교회오빠(디지털),  10,000원","16:05,  교회오빠(디지털),  10,000원","19:40,  교회오빠(디지털),  10,000원",,,,,,01관,2019-07-14,59
