상영일자,상영관,1회,2회,3회,좌석수
2017-05-23,01관,"19:50,  불한당: 나쁜 놈들의 세상(디지털),  16,000원","22:20,  불한당: 나쁜 놈들의 세상(디지털)",,200
2017-05-23,02관,"20:00,  석조저택 살인사건(디지털),  16,000원","22:10,  보안관(디지털),  16,000원",,120
2017-05-24,01관,"19:50,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  16,000원","22:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  16,000원",,200
2017-05-24,02관,"20:00,  불한당: 나쁜 놈들의 세상(디지털),  16,000원","22:20,  불한당: 나쁜 놈들의 세상(디지털),  16,000원",,120
2017-05-25,01관,"19:50,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  16,000원","22:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  16,000원",,200
2017-05-25,02관,"20:00,  불한당: 나쁜 놈들의 세상(디지털),  16,000원","22:20,  불한당: 나쁜 놈들의 세상(디지털),  16,000원",,120
2017-05-26,01관,"20:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  16,000원","22:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  16,000원",,200
2017-05-26,02관,"20:00,  불한당: 나쁜 놈들의 세상(디지털),  16,000원","22:20,  불한당: 나쁜 놈들의 세상(디지털),  16,000원",,120
2017-05-27,01관,"20:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  16,000원","22:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  16,000원",,200
2017-05-27,02관,"20:00,  불한당: 나쁜 놈들의 세상(디지털),  16,000원","22:20,  불한당: 나쁜 놈들의 세상(디지털),  16,000원",,120
2017-05-28,01관,"20:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  16,000원","22:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  16,000원",,200
2017-05-28,02관,"20:00,  불한당: 나쁜 놈들의 세상(디지털),  16,000원","22:20,  불한당: 나쁜 놈들의 세상(디지털),  16,000원",,120
2017-05-29,01관,"20:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  16,000원","22:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  16,000원",,200
2017-05-29,02관,"20:00,  불한당: 나쁜 놈들의 세상(디지털),  16,000원","22:20,  불한당: 나쁜 놈들의 세상(디지털),  16,000원",,120
2017-05-30,01관,"20:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  16,000원","22:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  16,000원",,200
2017-05-30,02관,"20:00,  불한당: 나쁜 놈들의 세상(디지털),  16,000원","22:20,  불한당: 나쁜 놈들의 세상(디지털)",,120
2017-05-31,01관,"20:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  16,000원","22:20,  불한당: 나쁜 놈들의 세상(디지털),  16,000원",,200
2017-05-31,02관,"20:00,  대립군(디지털),  16,000원","22:20,  대립군(디지털),  16,000원",,120
2017-06-01,01관,"20:00,  대립군(디지털),  20,000원","22:20,  대립군(디지털),  20,000원",,200
2017-06-01,02관,"20:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원","22:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원",,120
2017-06-02,01관,"20:00,  대립군(디지털),  20,000원","22:20,  대립군(디지털),  20,000원",,200
2017-06-02,02관,"20:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원","22:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원",,120
2017-06-03,01관,"20:00,  대립군(디지털),  20,000원","22:20,  대립군(디지털),  20,000원",,200
2017-06-03,02관,"20:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원","22:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원",,120
2017-06-04,01관,"20:00,  대립군(디지털),  20,000원","22:20,  대립군(디지털),  20,000원",,200
2017-06-04,02관,"20:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원","22:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원",,120
2017-06-05,01관,"20:00,  대립군(디지털),  20,000원","22:20,  대립군(디지털),  20,000원",,200
2017-06-05,02관,"20:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원","22:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원",,120
2017-06-06,01관,"20:00,  대립군(디지털),  20,000원","22:20,  대립군(디지털),  20,000원",,200
2017-06-06,02관,"20:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원","22:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원",,120
2017-06-07,01관,"20:10,  미이라(3D 디지털),  20,000원","22:30,  미이라(3D 디지털),  20,000원",,200
2017-06-07,02관,"20:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원","22:30,  대립군(디지털),  20,000원",,120
2017-06-08,01관,"20:10,  미이라(3D 디지털),  20,000원","22:30,  미이라(3D 디지털),  20,000원",,200
2017-06-08,02관,"20:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원","22:30,  대립군(디지털),  20,000원",,120
2017-06-09,01관,"20:10,  미이라(3D 디지털),  20,000원","22:30,  미이라(3D 디지털),  20,000원",,200
2017-06-09,02관,"20:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원","22:30,  대립군(디지털),  20,000원",,120
2017-06-10,01관,"22:20,  미이라(3D 디지털),  20,000원","24:50,  미이라(3D 디지털),  20,000원",,200
2017-06-10,02관,"20:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원",,,120
2017-06-11,01관,"20:20,  미이라(3D 디지털),  20,000원","22:30,  미이라(3D 디지털),  20,000원",,200
2017-06-11,02관,"20:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원","22:30,  대립군(디지털),  20,000원",,120
2017-06-12,01관,"20:20,  미이라(3D 디지털),  20,000원","22:30,  미이라(3D 디지털),  20,000원",,200
2017-06-12,02관,"20:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원","22:30,  대립군(디지털),  20,000원",,120
2017-06-13,01관,"20:20,  미이라(3D 디지털),  20,000원","22:30,  미이라(3D 디지털),  20,000원",,200
2017-06-13,02관,"20:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원","22:30,  대립군(디지털),  20,000원",,120
2017-06-14,01관,"20:20,  미이라(3D 디지털),  20,000원","22:30,  미이라(3D 디지털),  20,000원",,200
2017-06-14,02관,"20:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  20,000원","22:30,  대립군(디지털),  20,000원",,120
2017-06-15,01관,"20:20,  미이라(3D 디지털),  20,000원","22:30,  미이라(3D 디지털),  20,000원",,200
2017-06-15,02관,"20:20,  중독노래방(디지털),  20,000원","22:30,  중독노래방(디지털),  20,000원",,120
