1회,2회,3회,4회,5회,6회,7회,8회,상영관,상영일자,좌석수
"09:00,  어벤져스: 엔드게임(디지털),  8,000원","12:35,  어벤져스: 엔드게임(디지털),  11,000원","16:10,  어벤져스: 엔드게임(디지털),  12,000원","19:45,  어벤져스: 엔드게임(디지털),  12,000원","23:20,  어벤져스: 엔드게임(디지털),  12,000원",,,,샤롯데,2019-04-26,30
"09:00,  어벤져스: 엔드게임(디지털),  8,000원","12:35,  어벤져스: 엔드게임(디지털),  11,000원","16:10,  어벤져스: 엔드게임(디지털),  12,000원","19:45,  어벤져스: 엔드게임(디지털),  12,000원","23:20,  어벤져스: 엔드게임(디지털),  12,000원",,,,샤롯데,2019-04-27,30
"08:50,  어벤져스: 엔드게임(디지털),  8,000원","12:25,  어벤져스: 엔드게임(디지털),  11,000원",,"19:00,  어벤져스: 엔드게임(디지털),  12,000원","22:35,  어벤져스: 엔드게임(디지털),  12,000원",,,,샤롯데,2019-04-28,30
"09:30,  어벤져스: 엔드게임(디지털),  7,000원","13:00,  어벤져스: 엔드게임(디지털),  10,000원","16:30,  어벤져스: 엔드게임(디지털),  10,000원","20:00,  어벤져스: 엔드게임(디지털),  10,000원","23:30,  어벤져스: 엔드게임(디지털),  10,000원",,,,샤롯데,2019-04-29,30
"09:30,  어벤져스: 엔드게임(디지털),  7,000원","13:00,  어벤져스: 엔드게임(디지털),  10,000원","16:30,  어벤져스: 엔드게임(디지털),  10,000원","20:00,  어벤져스: 엔드게임(디지털),  10,000원","23:30,  어벤져스: 엔드게임(디지털),  10,000원",,,,샤롯데,2019-04-30,30
"10:30,  어벤져스: 엔드게임(디지털),  9,000원","14:00,  어벤져스: 엔드게임(디지털),  10,000원","17:40,  어벤져스: 엔드게임(디지털),  10,000원","21:15,  어벤져스: 엔드게임(디지털),  10,000원",,,,,샤롯데,2019-05-01,30
"09:30,  어벤져스: 엔드게임(디지털),  7,000원","13:00,  어벤져스: 엔드게임(디지털),  10,000원","16:30,  어벤져스: 엔드게임(디지털),  10,000원","20:00,  어벤져스: 엔드게임(디지털),  10,000원","23:30,  어벤져스: 엔드게임(디지털),  10,000원",,,,샤롯데,2019-05-02,30
"09:30,  어벤져스: 엔드게임(디지털),  8,000원","13:00,  어벤져스: 엔드게임(디지털),  12,000원","16:30,  어벤져스: 엔드게임(디지털),  12,000원","20:00,  어벤져스: 엔드게임(디지털),  12,000원","23:30,  어벤져스: 엔드게임(디지털),  12,000원",,,,샤롯데,2019-05-03,30
"09:30,  어벤져스: 엔드게임(디지털),  8,000원","13:00,  어벤져스: 엔드게임(디지털),  12,000원","16:30,  어벤져스: 엔드게임(디지털),  12,000원","20:00,  어벤져스: 엔드게임(디지털),  12,000원","23:30,  어벤져스: 엔드게임(디지털),  12,000원",,,,샤롯데,2019-05-04,30
"09:00,  어벤져스: 엔드게임(디지털),  8,000원","12:30,  어벤져스: 엔드게임(디지털),  11,000원",,"19:40,  어벤져스: 엔드게임(디지털),  12,000원","23:10,  어벤져스: 엔드게임(디지털),  12,000원",,,,샤롯데,2019-05-05,30
