상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2018-12-22,02관,"09:00,  스파이더맨: 뉴 유니버스(디지털),  4,200원","20:40,  스윙키즈(디지털),  8,400원",,,,,78
2018-12-22,03관,"09:00,  극장판 포켓몬스터 모두의 이야기(디지털),  4,200원","14:40,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  8,400원",,,,,78
2018-12-23,01관,"09:50,  마약왕(디지털),  8,400원","15:10,  마약왕(디지털),  8,400원","20:30,  마약왕(디지털),  12,000원",,,,78
2018-12-23,02관,"09:00,  스파이더맨: 뉴 유니버스(디지털),  8,400원","20:40,  스윙키즈(디지털),  8,400원",,,,,78
2018-12-23,03관,"10:50,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  8,400원","14:40,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  12,000원",,,,,78
2018-12-24,01관,"09:50,  마약왕(디지털),  7,700원","15:10,  마약왕(디지털),  7,700원","20:30,  마약왕(디지털),  7,700원",,,,78
2018-12-24,02관,"13:00,  아쿠아맨(디지털),  7,700원","20:40,  스윙키즈(디지털),  7,700원",,,,,78
2018-12-24,03관,"12:50,  그린치(디지털),  7,700원","18:30,  그린치(디지털),  7,700원",,,,,78
2018-12-25,01관,"09:30,  마약왕(디지털),  8,400원","14:50,  마약왕(디지털),  8,400원","20:20,  마약왕(디지털),  8,400원",,,,78
2018-12-25,02관,"09:20,  그린치(디지털),  8,400원","20:30,  스윙키즈(디지털),  8,400원",,,,,78
2018-12-25,03관,"09:50,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  8,400원","20:30,  범블비(디지털),  12,000원",,,,,78
2018-12-26,01관,"08:00,  국가부도의 날(디지털),  7,700원","20:10,  마약왕(디지털),  7,700원",,,,,78
2018-12-26,02관,"13:10,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  7,700원","20:20,  PMC: 더 벙커(디지털),  7,700원",,,,,78
2018-12-26,03관,"08:00,  국가부도의 날(디지털),  7,700원","20:40,  범블비(디지털),  7,700원",,,,,78
2018-12-27,01관,"12:30,  마약왕(디지털),  7,700원","15:10,  PMC: 더 벙커(디지털),  7,700원","20:00,  PMC: 더 벙커(디지털),  7,700원",,,,78
2018-12-27,02관,"12:40,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  7,700원","17:50,  마약왕(디지털),  7,700원",,,,,78
2018-12-27,03관,"10:50,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  7,700원","20:50,  범블비(디지털),  7,700원",,,,,78
2018-12-28,01관,"09:40,  스윙키즈(디지털),  8,400원",,,,,,78
2018-12-28,02관,"09:40,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  8,400원","20:30,  마약왕(디지털),  8,400원",,,,,78
2018-12-28,03관,"12:00,  그린치(디지털),  8,400원","16:10,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  8,400원",,,,,78
2018-12-29,01관,"10:00,  PMC: 더 벙커(디지털),  8,400원","17:50,  마약왕(디지털),  8,400원",,,,,78
2018-12-29,02관,"09:10,  마약왕(디지털),  8,400원",,,,,,78
2018-12-29,03관,"09:30,  그린치(디지털),  8,400원","20:10,  아쿠아맨(디지털),  8,400원",,,,,78
